Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],performance,0.39426660537719727,"(1000, 1000)"
1,2-T,"[0, 2]",performance,0.21811199188232422,"(1000, 1000)"
1,2-T-HP,"[0, 1]",performance,0.2153778076171875,"(1000, 1000)"
1,4-T,"[0, 2, 4, 6]",performance,0.16218829154968262,"(1000, 1000)"
1,4-T-HP,"[0, 1, 2, 3]",performance,0.15668606758117676,"(1000, 1000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.1789236068725586,"(1000, 1000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.18343257904052734,"(1000, 1000)"
2,1-T,[0],performance,0.3680870532989502,"(1000, 1000)"
2,2-T,"[0, 2]",performance,0.21619176864624023,"(1000, 1000)"
2,2-T-HP,"[0, 1]",performance,0.21920537948608398,"(1000, 1000)"
2,4-T,"[0, 2, 4, 6]",performance,0.17093467712402344,"(1000, 1000)"
2,4-T-HP,"[0, 1, 2, 3]",performance,0.1667635440826416,"(1000, 1000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.21604466438293457,"(1000, 1000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.17745113372802734,"(1000, 1000)"
