Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],powersave,0.41646790504455566,"(1000, 1000)"
1,2-T,"[0, 2]",powersave,0.233964204788208,"(1000, 1000)"
1,2-T-HP,"[0, 1]",powersave,0.23029613494873047,"(1000, 1000)"
1,4-T,"[0, 2, 4, 6]",powersave,0.15572857856750488,"(1000, 1000)"
1,4-T-HP,"[0, 1, 2, 3]",powersave,0.1835768222808838,"(1000, 1000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",powersave,0.180342435836792,"(1000, 1000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",powersave,0.17935824394226074,"(1000, 1000)"
2,1-T,[0],powersave,0.3529543876647949,"(1000, 1000)"
2,2-T,"[0, 2]",powersave,0.23972225189208984,"(1000, 1000)"
2,2-T-HP,"[0, 1]",powersave,0.22534656524658203,"(1000, 1000)"
2,4-T,"[0, 2, 4, 6]",powersave,0.17256855964660645,"(1000, 1000)"
2,4-T-HP,"[0, 1, 2, 3]",powersave,0.18395447731018066,"(1000, 1000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",powersave,0.1707451343536377,"(1000, 1000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",powersave,0.17599105834960938,"(1000, 1000)"
