Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],performance,3.327003002166748,"(2000, 2000)"
1,2-T,"[0, 2]",performance,1.9065351486206055,"(2000, 2000)"
1,2-T-HP,"[0, 1]",performance,1.972865343093872,"(2000, 2000)"
1,4-T,"[0, 2, 4, 6]",performance,1.7207965850830078,"(2000, 2000)"
1,4-T-HP,"[0, 1, 2, 3]",performance,1.7240843772888184,"(2000, 2000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.573246955871582,"(2000, 2000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.6148197650909424,"(2000, 2000)"
2,1-T,[0],performance,3.3432469367980957,"(2000, 2000)"
2,2-T,"[0, 2]",performance,2.0309653282165527,"(2000, 2000)"
2,2-T-HP,"[0, 1]",performance,1.9229867458343506,"(2000, 2000)"
2,4-T,"[0, 2, 4, 6]",performance,1.7112648487091064,"(2000, 2000)"
2,4-T-HP,"[0, 1, 2, 3]",performance,1.7544593811035156,"(2000, 2000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.6235644817352295,"(2000, 2000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.6192197799682617,"(2000, 2000)"
