Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number
EXP_0376,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],16
EXP_0524,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],14
EXP_0189,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],9
EXP_0132,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],12
EXP_0573,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],3
EXP_0299,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],29
EXP_0587,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],17
EXP_0447,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],27
EXP_0085,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],25
EXP_0593,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],23
EXP_0178,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],28
EXP_0154,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],4
EXP_0453,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],3
EXP_0197,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],17
EXP_0076,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],16
EXP_0093,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],3
EXP_0297,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],27
EXP_0069,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],9
EXP_0016,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],16
EXP_0205,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],25
EXP_0159,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],9
EXP_0089,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],29
EXP_0498,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],18
EXP_0118,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],28
EXP_0383,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],23
EXP_0406,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],16
EXP_0034,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],4
