Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],performance,0.3979175090789795,"(1000, 1000)"
1,2-T,"[0, 2]",performance,0.194366455078125,"(1000, 1000)"
1,2-T-HP,"[0, 1]",performance,0.33064770698547363,"(1000, 1000)"
1,4-T,"[0, 2, 4, 6]",performance,0.11923456192016602,"(1000, 1000)"
1,4-T-HP,"[0, 1, 2, 3]",performance,0.17521381378173828,"(1000, 1000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.08938431739807129,"(1000, 1000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.11718130111694336,"(1000, 1000)"
2,1-T,[0],performance,0.44011521339416504,"(1000, 1000)"
2,2-T,"[0, 2]",performance,0.20052266120910645,"(1000, 1000)"
2,2-T-HP,"[0, 1]",performance,0.32634496688842773,"(1000, 1000)"
2,4-T,"[0, 2, 4, 6]",performance,0.11940979957580566,"(1000, 1000)"
2,4-T-HP,"[0, 1, 2, 3]",performance,0.17593932151794434,"(1000, 1000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.09015583992004395,"(1000, 1000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.11389803886413574,"(1000, 1000)"
3,1-T,[0],performance,0.38417911529541016,"(1000, 1000)"
3,2-T,"[0, 2]",performance,0.19484710693359375,"(1000, 1000)"
3,2-T-HP,"[0, 1]",performance,0.3167598247528076,"(1000, 1000)"
3,4-T,"[0, 2, 4, 6]",performance,0.1292552947998047,"(1000, 1000)"
3,4-T-HP,"[0, 1, 2, 3]",performance,0.18501043319702148,"(1000, 1000)"
3,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.09181070327758789,"(1000, 1000)"
3,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.11742734909057617,"(1000, 1000)"
4,1-T,[0],performance,0.3846709728240967,"(1000, 1000)"
4,2-T,"[0, 2]",performance,0.1976490020751953,"(1000, 1000)"
4,2-T-HP,"[0, 1]",performance,0.3292200565338135,"(1000, 1000)"
4,4-T,"[0, 2, 4, 6]",performance,0.12277793884277344,"(1000, 1000)"
4,4-T-HP,"[0, 1, 2, 3]",performance,0.18587684631347656,"(1000, 1000)"
4,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.09378743171691895,"(1000, 1000)"
4,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.11677289009094238,"(1000, 1000)"
5,1-T,[0],performance,0.3757021427154541,"(1000, 1000)"
5,2-T,"[0, 2]",performance,0.19621825218200684,"(1000, 1000)"
5,2-T-HP,"[0, 1]",performance,0.31929707527160645,"(1000, 1000)"
5,4-T,"[0, 2, 4, 6]",performance,0.12305164337158203,"(1000, 1000)"
5,4-T-HP,"[0, 1, 2, 3]",performance,0.17153453826904297,"(1000, 1000)"
5,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.08910822868347168,"(1000, 1000)"
5,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.11610746383666992,"(1000, 1000)"
