Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],performance,0.324155330657959,"(1000, 1000)"
1,2-T,"[0, 2]",performance,0.32018232345581055,"(1000, 1000)"
1,2-T-HP,"[0, 1]",performance,0.19840073585510254,"(1000, 1000)"
1,4-T,"[0, 2, 4, 6]",performance,0.1755974292755127,"(1000, 1000)"
1,4-T-HP,"[0, 1, 2, 3]",performance,0.165482759475708,"(1000, 1000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.17529845237731934,"(1000, 1000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.1779019832611084,"(1000, 1000)"
2,1-T,[0],performance,0.38692378997802734,"(1000, 1000)"
2,2-T,"[0, 2]",performance,0.29387855529785156,"(1000, 1000)"
2,2-T-HP,"[0, 1]",performance,0.20859527587890625,"(1000, 1000)"
2,4-T,"[0, 2, 4, 6]",performance,0.1652383804321289,"(1000, 1000)"
2,4-T-HP,"[0, 1, 2, 3]",performance,0.1611948013305664,"(1000, 1000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.17875003814697266,"(1000, 1000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.17925405502319336,"(1000, 1000)"
