Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],performance,0.40891575813293457,"(1000, 1000)"
1,2-T,"[0, 2]",performance,0.19687676429748535,"(1000, 1000)"
1,2-T-HP,"[0, 1]",performance,0.3465447425842285,"(1000, 1000)"
1,4-T,"[0, 2, 4, 6]",performance,0.12169218063354492,"(1000, 1000)"
1,4-T-HP,"[0, 1, 2, 3]",performance,0.17545866966247559,"(1000, 1000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.11214232444763184,"(1000, 1000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.11765432357788086,"(1000, 1000)"
2,1-T,[0],performance,0.37000155448913574,"(1000, 1000)"
2,2-T,"[0, 2]",performance,0.2311418056488037,"(1000, 1000)"
2,2-T-HP,"[0, 1]",performance,0.360551118850708,"(1000, 1000)"
2,4-T,"[0, 2, 4, 6]",performance,0.13294720649719238,"(1000, 1000)"
2,4-T-HP,"[0, 1, 2, 3]",performance,0.17752528190612793,"(1000, 1000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.09392857551574707,"(1000, 1000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.11905789375305176,"(1000, 1000)"
