Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],performance,3.629058361053467,"(2000, 2000)"
1,2-T,"[0, 2]",performance,1.6997344493865967,"(2000, 2000)"
1,2-T-HP,"[0, 1]",performance,2.6116392612457275,"(2000, 2000)"
1,4-T,"[0, 2, 4, 6]",performance,0.9471662044525146,"(2000, 2000)"
1,4-T-HP,"[0, 1, 2, 3]",performance,1.339958906173706,"(2000, 2000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.6037752628326416,"(2000, 2000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.7588047981262207,"(2000, 2000)"
2,1-T,[0],performance,3.5298640727996826,"(2000, 2000)"
2,2-T,"[0, 2]",performance,1.7190313339233398,"(2000, 2000)"
2,2-T-HP,"[0, 1]",performance,2.6280670166015625,"(2000, 2000)"
2,4-T,"[0, 2, 4, 6]",performance,0.9635219573974609,"(2000, 2000)"
2,4-T-HP,"[0, 1, 2, 3]",performance,1.4169583320617676,"(2000, 2000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.5886528491973877,"(2000, 2000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.776792049407959,"(2000, 2000)"
