Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number
EXP_0033,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],1
EXP_0128,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],3
EXP_0133,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],8
EXP_0069,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],10
EXP_0011,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],10
EXP_0096,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],3
EXP_0110,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],8
EXP_0001,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],6
EXP_0120,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],9
EXP_0112,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],1
EXP_0065,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],3
EXP_0045,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],7
EXP_0087,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],5
EXP_0029,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],2
EXP_0041,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],7
EXP_0113,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],3
EXP_0026,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],2
EXP_0024,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],10
EXP_0118,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],6
EXP_0080,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],4
EXP_0040,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],1
EXP_0094,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],9
EXP_0157,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],7
EXP_0156,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],2
EXP_0135,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],8
EXP_0048,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],3
EXP_0153,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],2
EXP_0062,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],6
EXP_0074,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],5
EXP_0034,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],6
EXP_0121,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],4
EXP_0119,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],10
EXP_0126,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],8
EXP_0063,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],3
EXP_0159,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],3
EXP_0149,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],10
EXP_0154,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],10
EXP_0054,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],6
EXP_0006,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],10
EXP_0150,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],7
EXP_0125,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],4
EXP_0050,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],8
EXP_0036,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],4
EXP_0081,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],8
EXP_0078,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],3
EXP_0035,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],3
EXP_0047,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],2
EXP_0008,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],2
EXP_0044,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],7
EXP_0071,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],10
EXP_0123,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],10
EXP_0111,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],4
EXP_0092,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],4
EXP_0084,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],4
EXP_0145,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],2
EXP_0146,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],3
EXP_0090,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],2
EXP_0009,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],1
EXP_0114,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],1
EXP_0014,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],7
EXP_0060,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],2
EXP_0138,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],9
EXP_0004,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],6
EXP_0018,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],8
EXP_0039,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],10
EXP_0073,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],5
EXP_0141,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],5
EXP_0134,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],1
EXP_0064,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],8
EXP_0055,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],7
EXP_0108,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],5
EXP_0051,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],5
EXP_0158,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],5
EXP_0059,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],7
EXP_0049,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],4
EXP_0089,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],3
EXP_0022,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],9
EXP_0058,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],10
EXP_0155,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],1
