Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],performance,0.34737086296081543,"(1000, 1000)"
1,2-T,"[0, 2]",performance,0.216202974319458,"(1000, 1000)"
1,2-T-HP,"[0, 1]",performance,0.19662046432495117,"(1000, 1000)"
1,4-T,"[0, 2, 4, 6]",performance,0.1573021411895752,"(1000, 1000)"
1,4-T-HP,"[0, 1, 2, 3]",performance,0.16328907012939453,"(1000, 1000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.18309593200683594,"(1000, 1000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.1813359260559082,"(1000, 1000)"
2,1-T,[0],performance,0.33847832679748535,"(1000, 1000)"
2,2-T,"[0, 2]",performance,0.21036911010742188,"(1000, 1000)"
2,2-T-HP,"[0, 1]",performance,0.2187638282775879,"(1000, 1000)"
2,4-T,"[0, 2, 4, 6]",performance,0.16024279594421387,"(1000, 1000)"
2,4-T-HP,"[0, 1, 2, 3]",performance,0.1733102798461914,"(1000, 1000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.17340397834777832,"(1000, 1000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.1730670928955078,"(1000, 1000)"
