Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],performance,31.812601566314697,"(4000, 4000)"
1,2-T,"[0, 2]",performance,19.243233680725098,"(4000, 4000)"
1,2-T-HP,"[0, 1]",performance,19.226984977722168,"(4000, 4000)"
1,4-T,"[0, 2, 4, 6]",performance,14.642709493637085,"(4000, 4000)"
1,4-T-HP,"[0, 1, 2, 3]",performance,14.730814933776855,"(4000, 4000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,20.524861097335815,"(4000, 4000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,19.214020013809204,"(4000, 4000)"
2,1-T,[0],performance,32.64096689224243,"(4000, 4000)"
2,2-T,"[0, 2]",performance,19.587077379226685,"(4000, 4000)"
2,2-T-HP,"[0, 1]",performance,19.835562229156494,"(4000, 4000)"
2,4-T,"[0, 2, 4, 6]",performance,14.856840372085571,"(4000, 4000)"
2,4-T-HP,"[0, 1, 2, 3]",performance,14.731773614883423,"(4000, 4000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,19.92943572998047,"(4000, 4000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,19.522796392440796,"(4000, 4000)"
