Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.21969890594482422,"(1000, 1000)"
1,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.20330071449279785,"(1000, 1000)"
1,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.25351405143737793,"(1000, 1000)"
1,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.3268585205078125,"(1000, 1000)"
2,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.19946980476379395,"(1000, 1000)"
2,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.20122456550598145,"(1000, 1000)"
2,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.2575523853302002,"(1000, 1000)"
2,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.32669591903686523,"(1000, 1000)"
3,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.18729281425476074,"(1000, 1000)"
3,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.19768476486206055,"(1000, 1000)"
3,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.24706077575683594,"(1000, 1000)"
3,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.30748701095581055,"(1000, 1000)"
4,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.187727689743042,"(1000, 1000)"
4,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.20615768432617188,"(1000, 1000)"
4,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.24709486961364746,"(1000, 1000)"
4,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.30739569664001465,"(1000, 1000)"
5,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.18445444107055664,"(1000, 1000)"
5,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.21429133415222168,"(1000, 1000)"
5,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.26513195037841797,"(1000, 1000)"
5,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.31476283073425293,"(1000, 1000)"
