Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],performance,0.3555014133453369,"(1000, 1000)"
1,2-T,"[0, 2]",performance,0.24760818481445312,"(1000, 1000)"
1,2-T-HP,"[0, 1]",performance,0.22174692153930664,"(1000, 1000)"
1,4-T,"[0, 2, 4, 6]",performance,0.17275476455688477,"(1000, 1000)"
1,4-T-HP,"[0, 1, 2, 3]",performance,0.17754507064819336,"(1000, 1000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.17899417877197266,"(1000, 1000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.1764981746673584,"(1000, 1000)"
2,1-T,[0],performance,0.37036848068237305,"(1000, 1000)"
2,2-T,"[0, 2]",performance,0.2263166904449463,"(1000, 1000)"
2,2-T-HP,"[0, 1]",performance,0.2116551399230957,"(1000, 1000)"
2,4-T,"[0, 2, 4, 6]",performance,0.18339896202087402,"(1000, 1000)"
2,4-T-HP,"[0, 1, 2, 3]",performance,0.1571638584136963,"(1000, 1000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.17056059837341309,"(1000, 1000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.1743919849395752,"(1000, 1000)"
