Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.09763026237487793,"(1000, 1000)"
1,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.11238646507263184,"(1000, 1000)"
1,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.12901878356933594,"(1000, 1000)"
1,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.13894295692443848,"(1000, 1000)"
2,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.08914685249328613,"(1000, 1000)"
2,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.14011502265930176,"(1000, 1000)"
2,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.13363289833068848,"(1000, 1000)"
2,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.13991498947143555,"(1000, 1000)"
3,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.09027671813964844,"(1000, 1000)"
3,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.11352729797363281,"(1000, 1000)"
3,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.12958073616027832,"(1000, 1000)"
3,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.13666605949401855,"(1000, 1000)"
4,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.08934998512268066,"(1000, 1000)"
4,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.12248682975769043,"(1000, 1000)"
4,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.12856531143188477,"(1000, 1000)"
4,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.14142346382141113,"(1000, 1000)"
5,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.08965015411376953,"(1000, 1000)"
5,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.11497783660888672,"(1000, 1000)"
5,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.12811827659606934,"(1000, 1000)"
5,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.1425480842590332,"(1000, 1000)"
