Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.20212507247924805,"(1000, 1000)"
1,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.2481069564819336,"(1000, 1000)"
1,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.25022172927856445,"(1000, 1000)"
1,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.3293306827545166,"(1000, 1000)"
2,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.19601202011108398,"(1000, 1000)"
2,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.22657060623168945,"(1000, 1000)"
2,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.2610504627227783,"(1000, 1000)"
2,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.3217017650604248,"(1000, 1000)"
3,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.19066381454467773,"(1000, 1000)"
3,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.21380400657653809,"(1000, 1000)"
3,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.25670361518859863,"(1000, 1000)"
3,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.32225728034973145,"(1000, 1000)"
4,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.2012767791748047,"(1000, 1000)"
4,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.23894715309143066,"(1000, 1000)"
4,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.270627498626709,"(1000, 1000)"
4,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.32307958602905273,"(1000, 1000)"
5,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.19861054420471191,"(1000, 1000)"
5,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.2163693904876709,"(1000, 1000)"
5,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.26842355728149414,"(1000, 1000)"
5,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.3303229808807373,"(1000, 1000)"
