Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,1-T,[0],performance,3.295538902282715,"(2000, 2000)"
1,2-T,"[0, 2]",performance,1.9258263111114502,"(2000, 2000)"
1,2-T-HP,"[0, 1]",performance,2.0427002906799316,"(2000, 2000)"
1,4-T,"[0, 2, 4, 6]",performance,1.6796791553497314,"(2000, 2000)"
1,4-T-HP,"[0, 1, 2, 3]",performance,1.6930818557739258,"(2000, 2000)"
1,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.6044952869415283,"(2000, 2000)"
1,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.566206455230713,"(2000, 2000)"
2,1-T,[0],performance,3.0995535850524902,"(2000, 2000)"
2,2-T,"[0, 2]",performance,1.9891626834869385,"(2000, 2000)"
2,2-T-HP,"[0, 1]",performance,2.0709288120269775,"(2000, 2000)"
2,4-T,"[0, 2, 4, 6]",performance,1.6637499332427979,"(2000, 2000)"
2,4-T-HP,"[0, 1, 2, 3]",performance,1.6529779434204102,"(2000, 2000)"
2,8-T,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.553126335144043,"(2000, 2000)"
2,8-T-HP,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.6406660079956055,"(2000, 2000)"
