Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,20.149526596069336,"(4000, 4000)"
1,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,24.97564935684204,"(4000, 4000)"
1,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,40.54433989524841,"(4000, 4000)"
1,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,41.801860094070435,"(4000, 4000)"
2,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,20.322865962982178,"(4000, 4000)"
2,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,24.58170485496521,"(4000, 4000)"
2,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,40.58166480064392,"(4000, 4000)"
2,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,40.66965389251709,"(4000, 4000)"
3,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,20.292924404144287,"(4000, 4000)"
3,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,24.865487098693848,"(4000, 4000)"
3,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,40.961548805236816,"(4000, 4000)"
3,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,42.115458488464355,"(4000, 4000)"
4,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,20.242027282714844,"(4000, 4000)"
4,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,25.00663137435913,"(4000, 4000)"
4,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,40.575533866882324,"(4000, 4000)"
4,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,41.05333614349365,"(4000, 4000)"
5,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,20.33379578590393,"(4000, 4000)"
5,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,25.10675072669983,"(4000, 4000)"
5,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,40.50285887718201,"(4000, 4000)"
5,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,40.477450132369995,"(4000, 4000)"
