Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,17.662033557891846,"(4000, 4000)"
1,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,17.755227088928223,"(4000, 4000)"
1,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,17.853912591934204,"(4000, 4000)"
1,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,18.165147304534912,"(4000, 4000)"
2,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,18.903441905975342,"(4000, 4000)"
2,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,18.758273124694824,"(4000, 4000)"
2,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,19.066577434539795,"(4000, 4000)"
2,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,18.738842248916626,"(4000, 4000)"
3,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,19.092944145202637,"(4000, 4000)"
3,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,19.07703995704651,"(4000, 4000)"
3,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,18.762940406799316,"(4000, 4000)"
3,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,18.8425350189209,"(4000, 4000)"
4,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,19.197526931762695,"(4000, 4000)"
4,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,19.136738061904907,"(4000, 4000)"
4,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,19.342726707458496,"(4000, 4000)"
4,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,18.833104610443115,"(4000, 4000)"
5,p-cores 1 thread,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,19.356348276138306,"(4000, 4000)"
5,p-cores 2 threads,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,19.053828477859497,"(4000, 4000)"
5,p-cores & e-cores 50-50,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,19.031744718551636,"(4000, 4000)"
5,e-cores,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,19.569271087646484,"(4000, 4000)"
