Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number,Executed_Governor,Time_sec,Timestamp
EXP_WARMUP,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,6.672603130340576,2025-11-24T13:34:14.850663
EXP_WARMUP,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,6.597552537918091,2025-11-24T13:34:31.626721
EXP_WARMUP,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],0,performance,6.8275885581970215,2025-11-24T13:34:48.656844
EXP_0074,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],14,performance,0.1408090591430664,2025-11-24T13:34:58.836786
EXP_0415,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],25,performance,21.815294981002808,2025-11-24T13:35:30.999929
EXP_0395,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],5,performance,23.306015968322754,2025-11-24T13:36:04.663090
EXP_0278,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],8,performance,6.1551148891448975,2025-11-24T13:36:20.999783
EXP_0400,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],10,performance,24.997419118881226,2025-11-24T13:36:56.354963
EXP_0173,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],23,performance,0.790428638458252,2025-11-24T13:37:07.216737
EXP_0269,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],29,performance,6.55714225769043,2025-11-24T13:37:23.944997
EXP_0376,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],16,performance,30.139445543289185,2025-11-24T13:38:04.436302
EXP_0078,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],18,performance,0.14380168914794922,2025-11-24T13:38:14.620237
EXP_0443,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],23,performance,53.30412292480469,2025-11-24T13:39:18.322921
EXP_0010,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],10,performance,0.10034489631652832,2025-11-24T13:39:28.460009
EXP_0282,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],12,performance,6.255889415740967,2025-11-24T13:39:44.910667
EXP_0434,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],14,performance,54.6296923160553,2025-11-24T13:40:49.919158
EXP_0299,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],29,performance,6.248096704483032,2025-11-24T13:41:06.346677
EXP_0031,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],1,performance,0.1289994716644287,2025-11-24T13:41:16.511900
EXP_0094,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],4,performance,0.1509392261505127,2025-11-24T13:41:26.695608
EXP_0056,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],26,performance,0.12639951705932617,2025-11-24T13:41:36.856162
EXP_0424,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],4,performance,50.569698095321655,2025-11-24T13:42:37.781318
EXP_0034,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],4,performance,0.12499785423278809,2025-11-24T13:42:47.950104
EXP_0204,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],24,performance,0.9985337257385254,2025-11-24T13:42:59.011038
EXP_0181,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],1,performance,1.001739263534546,2025-11-24T13:43:10.074868
EXP_0466,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],16,performance,54.64421844482422,2025-11-24T13:44:15.074701
EXP_0071,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],11,performance,0.14711642265319824,2025-11-24T13:44:25.262413
EXP_0262,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],22,performance,6.9560863971710205,2025-11-24T13:44:42.413911
EXP_0105,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],15,performance,0.15022516250610352,2025-11-24T13:44:52.600295
EXP_0475,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],25,performance,55.82629728317261,2025-11-24T13:45:58.775665
EXP_0359,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],29,performance,15.583096027374268,2025-11-24T13:46:24.542563
EXP_0322,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],22,performance,14.38236379623413,2025-11-24T13:46:49.107715
EXP_0302,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],2,performance,14.378536224365234,2025-11-24T13:47:13.667651
EXP_0001,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],1,performance,0.10381078720092773,2025-11-24T13:47:23.809785
EXP_0392,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],2,performance,24.275975704193115,2025-11-24T13:47:58.443122
EXP_0012,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],12,performance,0.11189937591552734,2025-11-24T13:48:08.603626
EXP_0381,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],21,performance,30.291043043136597,2025-11-24T13:48:49.246735
EXP_0431,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],11,performance,57.283303022384644,2025-11-24T13:49:56.894020
EXP_0378,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],18,performance,35.30354690551758,2025-11-24T13:50:42.564117
EXP_0118,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],28,performance,0.15153908729553223,2025-11-24T13:50:52.759002
EXP_0303,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],3,performance,14.397156000137329,2025-11-24T13:51:17.337943
