Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,40.38958168029785,"(6000, 6000)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,42.34771418571472,"(6000, 6000)"
3,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,51.32000255584717,"(6000, 6000)"
4,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,52.06677985191345,"(6000, 6000)"
5,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,52.49520254135132,"(6000, 6000)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,44.114895820617676,"(6000, 6000)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,43.994606733322144,"(6000, 6000)"
3,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,44.00835680961609,"(6000, 6000)"
4,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,43.842411041259766,"(6000, 6000)"
5,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,44.44058895111084,"(6000, 6000)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,47.58372163772583,"(6000, 6000)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,47.908623933792114,"(6000, 6000)"
3,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,49.96009612083435,"(6000, 6000)"
4,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,48.7453293800354,"(6000, 6000)"
5,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,49.20961594581604,"(6000, 6000)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,65.37633752822876,"(6000, 6000)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,64.73900651931763,"(6000, 6000)"
3,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,64.62050008773804,"(6000, 6000)"
4,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,64.080885887146,"(6000, 6000)"
5,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,64.25623202323914,"(6000, 6000)"
