Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,41.591447591781616,"(6000, 6000)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,42.41676425933838,"(6000, 6000)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,50.508294105529785,"(6000, 6000)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,51.735336780548096,"(6000, 6000)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,50.84790825843811,"(6000, 6000)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,52.617552042007446,"(6000, 6000)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,54.12743330001831,"(6000, 6000)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,55.147961139678955,"(6000, 6000)"
