Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.12804317474365234,"(1000, 1000)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.12875771522521973,"(1000, 1000)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.12629222869873047,"(1000, 1000)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.13521385192871094,"(1000, 1000)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.1273646354675293,"(1000, 1000)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,0.12566637992858887,"(1000, 1000)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.12914228439331055,"(1000, 1000)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,0.1281435489654541,"(1000, 1000)"
