Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.4363274574279785,"(2000, 2000)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.4700157642364502,"(2000, 2000)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,1.4380455017089844,"(2000, 2000)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.4838738441467285,"(2000, 2000)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.4676530361175537,"(2000, 2000)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.4590790271759033,"(2000, 2000)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,1.47320556640625,"(2000, 2000)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.4409873485565186,"(2000, 2000)"
