Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,41.79650402069092,"(6000, 6000)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,43.39613056182861,"(6000, 6000)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,51.07368993759155,"(6000, 6000)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,52.68366980552673,"(6000, 6000)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,50.853068828582764,"(6000, 6000)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,52.653828144073486,"(6000, 6000)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,55.05132079124451,"(6000, 6000)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,54.89360809326172,"(6000, 6000)"
