Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,41.64837574958801,"(6000, 6000)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,43.101051568984985,"(6000, 6000)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,53.23264932632446,"(6000, 6000)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,53.443522453308105,"(6000, 6000)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,53.78571963310242,"(6000, 6000)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,55.265265226364136,"(6000, 6000)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,56.53971815109253,"(6000, 6000)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,55.68759489059448,"(6000, 6000)"
