Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,83.97874546051025,"(7000, 7000)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,99.82929491996765,"(7000, 7000)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,100.27726697921753,"(7000, 7000)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,103.84417390823364,"(7000, 7000)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,101.81159257888794,"(7000, 7000)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,100.23408770561218,"(7000, 7000)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,103.39192605018616,"(7000, 7000)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,107.043696641922,"(7000, 7000)"
