Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.4230079650878906,"(2000, 2000)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.464643955230713,"(2000, 2000)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,1.4487614631652832,"(2000, 2000)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.422630786895752,"(2000, 2000)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.5526602268218994,"(2000, 2000)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.4519870281219482,"(2000, 2000)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,1.4409503936767578,"(2000, 2000)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.4742822647094727,"(2000, 2000)"
3,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.6093862056732178,"(2000, 2000)"
3,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.4655513763427734,"(2000, 2000)"
3,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,1.4865167140960693,"(2000, 2000)"
3,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.5601801872253418,"(2000, 2000)"
4,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.506903886795044,"(2000, 2000)"
4,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.45401930809021,"(2000, 2000)"
4,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,1.4950335025787354,"(2000, 2000)"
4,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.4646046161651611,"(2000, 2000)"
5,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.467073917388916,"(2000, 2000)"
5,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.4923100471496582,"(2000, 2000)"
5,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,1.4283230304718018,"(2000, 2000)"
5,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.6244192123413086,"(2000, 2000)"
