Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,3.146923065185547,"(8, 1)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,3.1660425662994385,"(8, 1)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,3.140841007232666,"(8, 1)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,3.194861888885498,"(8, 1)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,3.0525155067443848,"(8, 1)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,3.152035713195801,"(8, 1)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,3.1305603981018066,"(8, 1)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,3.2112419605255127,"(8, 1)"
3,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,3.2212331295013428,"(8, 1)"
3,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,3.1675941944122314,"(8, 1)"
3,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,3.1567845344543457,"(8, 1)"
3,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,3.1964809894561768,"(8, 1)"
4,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,3.0102555751800537,"(8, 1)"
4,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,3.1858551502227783,"(8, 1)"
4,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,3.0845470428466797,"(8, 1)"
4,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,3.3226354122161865,"(8, 1)"
5,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,3.0445075035095215,"(8, 1)"
5,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,3.165858507156372,"(8, 1)"
5,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,3.1080691814422607,"(8, 1)"
5,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,3.153914213180542,"(8, 1)"
6,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,3.0228452682495117,"(8, 1)"
6,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,3.216646194458008,"(8, 1)"
6,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,3.177260160446167,"(8, 1)"
6,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,3.2269482612609863,"(8, 1)"
7,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,3.07163405418396,"(8, 1)"
7,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,3.2684571743011475,"(8, 1)"
7,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,3.4838106632232666,"(8, 1)"
7,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,3.2106080055236816,"(8, 1)"
8,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,3.006779670715332,"(8, 1)"
8,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,3.1307215690612793,"(8, 1)"
8,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,3.158017635345459,"(8, 1)"
8,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,3.244838237762451,"(8, 1)"
9,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,3.008463144302368,"(8, 1)"
9,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,3.1688778400421143,"(8, 1)"
9,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,3.471400260925293,"(8, 1)"
9,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,3.201458692550659,"(8, 1)"
10,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,3.048248767852783,"(8, 1)"
10,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,3.3172287940979004,"(8, 1)"
10,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,3.2049293518066406,"(8, 1)"
10,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,3.241185426712036,"(8, 1)"
