Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number,Executed_Governor,Time_sec,Temp°C,Timestamp
EXP_0479,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],29,performance,4.4297685623168945,45.0,2025-11-26T14:38:11.295564
EXP_0500,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],20,performance,5.437234163284302,45.0,2025-11-26T14:38:28.005850
EXP_0530,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],20,performance,5.6298182010650635,49.0,2025-11-26T14:38:44.412066
EXP_0389,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],29,performance,2.417332410812378,48.0,2025-11-26T14:38:57.379731
EXP_0126,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],6,performance,0.058266401290893555,45.0,2025-11-26T14:39:07.678369
EXP_0582,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],12,performance,5.308281660079956,50.0,2025-11-26T14:39:23.782545
EXP_0224,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],14,performance,0.10847330093383789,45.0,2025-11-26T14:39:34.145884
EXP_0343,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],13,performance,1.9629745483398438,45.0,2025-11-26T14:39:46.574547
EXP_0054,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],24,performance,0.025459766387939453,45.0,2025-11-26T14:39:56.773019
EXP_0220,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],10,performance,0.19074344635009766,44.0,2025-11-26T14:40:07.172933
EXP_0130,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],10,performance,0.09589695930480957,45.0,2025-11-26T14:40:17.491837
EXP_0544,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],4,performance,5.572663307189941,46.0,2025-11-26T14:40:33.849615
EXP_0394,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],4,performance,2.4097447395324707,48.0,2025-11-26T14:40:47.041765
EXP_0448,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],28,performance,2.4995720386505127,47.0,2025-11-26T14:41:00.061076
EXP_0546,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],6,performance,6.118792295455933,47.0,2025-11-26T14:41:17.473250
EXP_0396,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],6,performance,2.2432453632354736,49.0,2025-11-26T14:41:30.501207
EXP_0567,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],27,performance,5.442485332489014,49.0,2025-11-26T14:41:46.728594
EXP_0403,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],13,performance,2.2437939643859863,49.0,2025-11-26T14:41:59.759872
EXP_0387,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],27,performance,1.7818293571472168,49.0,2025-11-26T14:42:12.045117
