Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.1496851444244385,"(2000, 2000)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.0947673320770264,"(2000, 2000)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,1.0642731189727783,"(2000, 2000)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.1114866733551025,"(2000, 2000)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.0710124969482422,"(2000, 2000)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.1157917976379395,"(2000, 2000)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,1.0751361846923828,"(2000, 2000)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.136988878250122,"(2000, 2000)"
