Run,Scenario,CPUs_used,Governor,Time_sec,Result_shape
1,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,1.0437638759613037,"(2000, 2000)"
1,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.0848100185394287,"(2000, 2000)"
1,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,0.998483419418335,"(2000, 2000)"
1,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.0286822319030762,"(2000, 2000)"
2,8P_HT_OFF,"[0, 2, 4, 6, 8, 10, 12, 14]",performance,0.9947857856750488,"(2000, 2000)"
2,4P_HT_ON,"[0, 1, 2, 3, 4, 5, 6, 7]",performance,1.0264482498168945,"(2000, 2000)"
2,4P_4E_HT_OFF,"[0, 2, 4, 6, 16, 17, 18, 19]",performance,1.0256359577178955,"(2000, 2000)"
2,8E,"[16, 17, 18, 19, 20, 21, 22, 23]",performance,1.040022373199463,"(2000, 2000)"
